brand,model,status
Geely,Coolray,22
Haval,Jolion,22
Dongfeng,Captain-T S1,0
JAC,N-56,22
Foton,Toano,22
JAC,N-120,22
JAC,N-350,22
Chery,Tiggo 7 Pro,22
Chery,Tiggo 8 Pro,22
Omoda,C5,22
Omoda,S5 EV,0
Omoda,S5 GT,22
Omoda,S5,22
Omoda,S5 GT EV,0
Omoda,C5,22
Omoda,C5 EV,2
Exeed,LX,22
Geely,Atlas,22
Geely,Monjaro,22
VOYAH,Dream,0
GAC,M8,0
Hongqi,HQ9,0
Maxus,V80,21
Maxus,V90,20
Maxus,G10,22
