brand,model,status
Dongfeng,Captain-T S1,0
JAC,N-56,12
Dongfeng,K-Series,12
Foton,Toano,12
JAC,N-90,12
JAC,N-120,12
SITRAK,C7H,12
Shacman,SX3258,12
Shacman,SX3318,12
JAC,N-350,12
Howo,3327,12
Howo,3407,12
FAW,CA3250,12
VOYAH,Dream,0
GAC,M8,0
Hongqi,HQ9,0
Maxus,V80,11
Maxus,V90,10
